İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Fiyat
27502137,30 Aralık 2024,Renault,Symbol,1.5 dCi BlueDCI Joy,2018,150.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,"1 değişen, 5 boyalı",Takasa Uygun,Galeriden,530.000 TL
27502169,30 Aralık 2024,Opel,Astra,1.6 Classic,2001,323.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1598 cc,75 hp,Önden Çekiş,İkinci El,"7,2 lt",52 lt,10 boyalı,Takasa Uygun Değil,Galeriden,319.000 TL
27314168,30 Aralık 2024,Toyota,Corolla,1.6 XEi,1997,390.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1587 cc,105 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,295.000 TL
27314158,30 Aralık 2024,Renault,Megane,1.6 RXT,2001,408.000 km,Düz,LPG & Benzin,Sedan,Bordo,1598 cc,107 hp,Önden Çekiş,İkinci El,7 lt,60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,295.000 TL
27501437,30 Aralık 2024,Fiat,Egea,1.6 Multijet Easy,2023,72.651 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,"3,9 lt",45 lt,1 boyalı,Takasa Uygun,Galeriden,919.000 TL
27500538,30 Aralık 2024,Fiat,Egea,1.6 Multijet Easy,2022,70.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,130 hp,Önden Çekiş,İkinci El,"4,4 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,925.000 TL
27500439,30 Aralık 2024,Opel,Insignia,1.6 CDTI Excellence,2018,211.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,"5,1 lt",62 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.150.000 TL
27500374,30 Aralık 2024,Fiat,Egea,1.3 Multijet Easy,2022,65.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",50 lt,4 boyalı,Takasa Uygun,Galeriden,785.000 TL
27499778,30 Aralık 2024,Volkswagen,Passat,1.6 TDi,2019,97.400 km,Yarı Otomatik,Dizel,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,59 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.399.500 TL
27499657,30 Aralık 2024,Renault,R 9,1.4 Broadway,1994,325.000 km,Düz,LPG & Benzin,Sedan,Füme,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Belirtilmemiş,Takasa Uygun,Galeriden,133.000 TL
27499653,30 Aralık 2024,Tofaş,Şahin,1.6,1992,111.111 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,51 - 75 HP,Arkadan İtiş,İkinci El,,52 lt,Belirtilmemiş,Takasa Uygun,Galeriden,128.000 TL
26761364,30 Aralık 2024,Renault,Clio,1.5 dCi Grandtour Authentique,2012,312.000 km,Düz,Dizel,Station wagon,Gri,1461 cc,75 hp,Önden Çekiş,İkinci El,"4,4 lt",55 lt,2 boyalı,Takasa Uygun,Galeriden,415.000 TL
27367689,30 Aralık 2024,Skoda,Octavia,1.6 TDI Ambiente,2011,127.000 km,Düz,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun Değil,Galeriden,760.000 TL
27363056,30 Aralık 2024,Renault,R 19,1.6 Europa RT,1997,245.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,90 hp,Önden Çekiş,İkinci El,,55 lt,Tamamı orjinal,Takasa Uygun,Galeriden,245.500 TL
27362714,30 Aralık 2024,Volkswagen,Jetta,1.4 TSi BlueMotion Comfortline,2016,269.000 km,Otomatik,Benzin,Sedan,Siyah,1201 - 1400 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,7 boyalı,Takasa Uygun,Galeriden,729.900 TL
27362087,30 Aralık 2024,Skoda,Fabia,1.0 GreenTec Style,2019,52.000 km,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,999 cc,110 hp,Önden Çekiş,İkinci El,"4,6 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,985.000 TL
27473573,30 Aralık 2024,Hyundai,Getz,1.4 DOHC AB AC,2010,72.000 km,Otomatik,Benzin,Hatchback/5,Siyah,1399 cc,97 hp,Önden Çekiş,İkinci El,"6,7 lt",45 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,558.000 TL
27498739,30 Aralık 2024,Renault,Megane,1.6 RTE,2001,217.000 km,Düz,Benzin,Sedan,Gri (Gümüş),1598 cc,107 hp,Önden Çekiş,İkinci El,7 lt,60 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,465.000 TL
27498868,30 Aralık 2024,Volkswagen,Golf,1.4 TSi Highline,2015,75.000 km,Düz,Benzin,Hatchback/5,Mavi (metalik),1395 cc,125 hp,Önden Çekiş,İkinci El,"5,2 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,945.000 TL
27498486,29 Aralık 2024,Renault,R 9,1.4 Broadway RN,2000,300.000 km,Düz,LPG & Benzin,Sedan,Bordo,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,235.000 TL
27498448,29 Aralık 2024,BMW,5 Serisi,520d Comfort,2014,176.000 km,Otomatik,Dizel,Sedan,Beyaz,1995 cc,190 hp,Arkadan İtiş,İkinci El,"4,1 lt",70 lt,1 değişen,Takasa Uygun,Galeriden,1.565.000 TL
27497954,29 Aralık 2024,Ford,Focus,1.6 Comfort,2011,119.000 km,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),1596 cc,100 hp,Önden Çekiş,İkinci El,"6,7 lt",55 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Galeriden,659.750 TL
26767713,29 Aralık 2024,Mercedes - Benz,B,B 180 CDI BlueEFFICIENCY Style,2017,175.000 km,Otomatik,Dizel,MPV,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun,Galeriden,1.159.000 TL
27495963,29 Aralık 2024,Renault,Clio,1.5 dCi Alize,2005,345.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,65 hp,Önden Çekiş,İkinci El,"4,7 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,330.000 TL
27495832,29 Aralık 2024,Opel,Astra,1.6 Essentia,2012,184.048 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,3 lt",52 lt,4 boyalı,Takasa Uygun Değil,Galeriden,565.000 TL
26820388,29 Aralık 2024,Peugeot,308,1.6 VTi Comfort,2009,113.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1598 cc,122 hp,Önden Çekiş,İkinci El,"6,7 lt",60 lt,2 boyalı,Takasa Uygun,Galeriden,500.000 TL
27480763,29 Aralık 2024,Mercedes - Benz,C,C 200 AMG,2023,6.001 km,Otomatik,LPG & Benzin,Sedan,Gri,1496 cc,204 hp,4WD (Sürekli),İkinci El,"6,6 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,3.289.900 TL
27493312,29 Aralık 2024,Audi,A5,A5 Sportback 2.0 TFSI Quattro,2012,248.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1984 cc,211 hp,4WD (Sürekli),İkinci El,7 lt,61 lt,"2 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,1.300.000 TL
27493009,29 Aralık 2024,Hyundai,i20,1.4 MPI Elite,2014,124.000 km,Otomatik,LPG & Benzin,Hatchback/5,Gri,1368 cc,100 hp,Önden Çekiş,İkinci El,"6,4 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,835.000 TL
27492975,29 Aralık 2024,Opel,Astra,1.6 Edition,2018,102.296 km,Yarı Otomatik,Benzin,Station wagon,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,5 lt",56 lt,"2 değişen, 3 boyalı",Takasa Uygun,Galeriden,755.000 TL
27492892,29 Aralık 2024,Fiat,Egea,1.3 Multijet Urban,2018,175.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",45 lt,3 boyalı,Takasa Uygun,Galeriden,680.000 TL
27490321,29 Aralık 2024,Opel,Astra,1.6 Comfort,2001,379.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1598 cc,100 hp,Önden Çekiş,İkinci El,"7,1 lt",52 lt,Belirtilmemiş,,Sahibinden,290.000 TL
26875274,29 Aralık 2024,Seat,Toledo,1.6 Signo Plus,2005,337.000 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,105 hp,Önden Çekiş,İkinci El,"6,9 lt",55 lt,9 boyalı,Takasa Uygun,Galeriden,360.000 TL
26880217,29 Aralık 2024,Volkswagen,New Beetle,1.2 TSi Beetle,2012,105.000 km,Düz,Benzin,Hatchback/3,Siyah,1197 cc,105 hp,Önden Çekiş,İkinci El,"5,9 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,699.750 TL
27424925,29 Aralık 2024,Ford,Focus,1.5 TDCi Trend X,2023,45.000 km,Otomatik,Dizel,Sedan,Gri,1500 cc,115 hp,Önden Çekiş,İkinci El,"4,5 lt",47 lt,2 boyalı,Takasa Uygun Değil,Galeriden,1.240.000 TL
27458379,29 Aralık 2024,Fiat,Palio,1.2 Go,2005,190.000 km,Düz,Benzin,Hatchback/5,Gri (Gümüş),1242 cc,81 hp,Önden Çekiş,İkinci El,"7,2 lt",51 lt,Belirtilmemiş,Takasa Uygun,Galeriden,335.000 TL
27491649,29 Aralık 2024,Volvo,S40,1.8,2004,350.000 km,Otomatik,LPG & Benzin,Sedan,Mavi,1798 cc,125 hp,Önden Çekiş,İkinci El,"7,2 lt",62 lt,10 boyalı,Takasa Uygun,Galeriden,375.000 TL
27475095,29 Aralık 2024,Peugeot,301,1.5 BlueHDI Allure,2020,133.000 km,Düz,Dizel,Sedan,Gri (metalik),1499 cc,102 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,1 boyalı,Takasa Uygun,Galeriden,699.000 TL
27475078,29 Aralık 2024,Citroen,C3,1.2 PureTech Feel,2023,43.000 km,Düz,Benzin,Hatchback/5,Beyaz,1199 cc,83 hp,Önden Çekiş,İkinci El,"4,2 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,739.000 TL
27491588,29 Aralık 2024,Skoda,Octavia,1.6 TDI Style CR,2016,204.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,960.000 TL
26878890,29 Aralık 2024,Renault,Megane,1.5 dCi Icon,2018,137.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,1.089.000 TL
27491395,29 Aralık 2024,Renault,Symbol,1.5 dCi Joy,2015,180.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,498.000 TL
27357520,29 Aralık 2024,Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY AMG Sport,2015,70.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461 cc,109 hp,Önden Çekiş,İkinci El,"3,7 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.450.000 TL
27356337,29 Aralık 2024,Peugeot,308,1.2 PureTech Allure,2022,53.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1199 cc,132 hp,Önden Çekiş,İkinci El,"5,9 lt",52 lt,2 değişen,Takasa Uygun,Galeriden,1.239.900 TL
27356336,29 Aralık 2024,Toyota,Corolla,1.33 Life,2015,61.000 km,Düz,Benzin,Sedan,Beyaz,1329 cc,99 hp,Önden Çekiş,İkinci El,"5,8 lt",55 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,709.900 TL
27358342,29 Aralık 2024,Volkswagen,Passat,1.6 TDi BlueMotion Exclusive,2014,203.000 km,Otomatik,Dizel,Sedan,Mavi,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,975.000 TL
27490966,29 Aralık 2024,Renault,Megane,1.5 dCi Icon,2018,140.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,950.000 TL
27230354,29 Aralık 2024,BMW,3 Serisi,320i ED Sport Line,2015,300.000 km,Otomatik,Benzin,Sedan,Beyaz,1598 cc,170 hp,Arkadan İtiş,İkinci El,"5,3 lt",60 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,1.080.000 TL
27490296,28 Aralık 2024,Renault,Clio,1.4 RXT,2001,230.000 km,Otomatik,LPG & Benzin,Hatchback/5,Kırmızı,1390 cc,98 hp,Önden Çekiş,İkinci El,"6,7 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,375.000 TL
27489027,28 Aralık 2024,Ford,Focus,1.6 TDCi Collection,2008,225.000 km,Düz,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun Değil,Galeriden,469.000 TL
27490296,28 Aralık 2024,Renault,Clio,1.4 RXT,2001,230.000 km,Otomatik,LPG & Benzin,Hatchback/5,Kırmızı,1390 cc,98 hp,Önden Çekiş,İkinci El,"6,7 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,375.000 TL
27489027,28 Aralık 2024,Ford,Focus,1.6 TDCi Collection,2008,225.000 km,Düz,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun Değil,Galeriden,469.000 TL
27488974,28 Aralık 2024,Fiat,Linea,1.3 Multijet Active,2009,237.000 km,Düz,Dizel,Sedan,Kırmızı,1248 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,Tamamı boyalı,Takasa Uygun,Galeriden,375.000 TL
27332811,28 Aralık 2024,Ford,Focus,1.5 TDCi Titanium X,2023,43.000 km,Otomatik,Dizel,Sedan,Gri (Gümüş),1500 cc,115 hp,Önden Çekiş,İkinci El,"4,5 lt",47 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Galeriden,1.365.000 TL
27487226,28 Aralık 2024,Renault,Megane,1.5 dCi Icon,2017,153.500 km,Yarı Otomatik,Dizel,Sedan,Gri (titanyum),1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",49 lt,1 boyalı,Takasa Uygun,Galeriden,1.200.000 TL
27486680,28 Aralık 2024,Fiat,Linea,1.3 Multijet Pop,2017,180.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,"2 değişen, 4 boyalı",Takasa Uygun,Galeriden,468.750 TL
27486672,28 Aralık 2024,Toyota,Yaris,1.33 Fun,2013,146.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1329 cc,99 hp,Önden Çekiş,İkinci El,"5,2 lt",42 lt,Belirtilmemiş,Takasa Uygun,Galeriden,625.000 TL
27486189,28 Aralık 2024,Nissan,Micra,1.2 Match,2014,50.350 km,Otomatik,Benzin,Hatchback/5,Beyaz,1198 cc,80 hp,Önden Çekiş,İkinci El,"5,4 lt",41 lt,2 değişen,Takasa Uygun Değil,Galeriden,700.000 TL
27486173,28 Aralık 2024,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2011,194.650 km,Yarı Otomatik,Benzin,Sedan,Füme,1390 cc,122 hp,Önden Çekiş,İkinci El,6 lt,70 lt,"1 değişen, 4 boyalı",Takasa Uygun,Galeriden,765.980 TL
27484576,28 Aralık 2024,Audi,A5,A5 Sportback 2.0 TDI Quattro,2013,270.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),İkinci El,,,"3 değişen, 1 boyalı",Takasa Uygun,Galeriden,1.150.000 TL
